sample,Hash,nReads
FH_201711B.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1074
LK_201709C.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,982
FH_201711A.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1302
CP_201711B.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,652
FH_201710A.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,269
CP_201711A.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,710
FH_201710B.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,185
CP_201710B.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,390
CP_201710C.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,265
LK_201709A.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1131
CP_201710B.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,329
LK_201709B.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,848
CP_201709B.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1244
LK_201711B.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,375
CP_201710C.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,38
LK_201709A.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1113
CP_201709C.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1798
FH_201709A.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,632
FH_201711C.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,845
FH_201709B.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1169
CP_201709A.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,2363
LK_201711A.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1005
CP_201711B.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1748
LK_201709A.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1323
LK_201710A.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,2028
FH_201711A.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,2191
CP_201709B.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1079
LK_201709C.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,2401
LK_201711C.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,366
LK_201710A.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,425
FH_201710B.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,195
